id,name,host_name,host_since,latitude,longitude,room_type,accommodates,price,price_nzd,minimum_nights,number_of_reviews,last_review,review_scores_rating,region_name,region_parent_name
l11441882,Serviced apartment in Queenstown · 1 bedroom · 1 bed · 1 bath,Swiss-Belsuites,2016-01-09,-45.03573,168.67365,Entire home/apt,2,$595.00,595.0,1,0,,,Queenstown-Wakatipu Ward,Queenstown-Lakes District
l36779669,Guest suite in Wanaka · ★4.92 · 1 bedroom · 3 beds · 1 private bath,Archway Motels&Chalets,2014-10-21,-44.69285,169.14058,Private room,3,$256.00,256.0,1,38,2023-08-12,4.92,Wanaka Ward,Queenstown-Lakes District
l21165441,Bungalow in Coatesville · ★5.0 · 2 bedrooms · 3 beds · 1 bath,Colin,2017-09-06,-36.70997,174.66381,Entire home/apt,4,$185.00,185.0,14,3,2023-01-26,5.0,Rodney Ward,Auckland
l19228082,Home in Queenstown  · ★4.94 · 3 bedrooms · 4 beds · 2 baths,Nick And Emma,2017-03-28,-45.00376,168.77802,Entire home/apt,6,$425.00,425.0,3,52,2023-08-23,4.94,Queenstown-Wakatipu Ward,Queenstown-Lakes District
l848741430183101080,Rental unit in Lake Tekapo · ★4.95 · 1 bedroom · 1 bed · 1 bath,Distance Co.,2023-03-16,-44.0081451,170.4760211,Entire home/apt,2,$191.00,191.0,1,40,2023-08-19,4.95,Pukaki Ward,Mackenzie District
l47588782,Rental unit in Akaroa · ★4.92 · 1 bedroom · 2 beds · 1 bath,Victoria,2017-01-13,-43.8064,172.96985,Entire home/apt,2,$175.00,175.0,2,96,2023-06-05,4.92,Banks Peninsula Ward,Christchurch City
l19851314,Rental unit in Queenstown · ★4.89 · 2 bedrooms · 4 beds · 1 bath,Gretchen And Graeme,2016-01-28,-45.02852,168.66562,Entire home/apt,5,$170.00,170.0,2,299,2023-08-29,4.89,Queenstown-Wakatipu Ward,Queenstown-Lakes District
l8036165,Home in Kakahi · ★4.84 · 3 bedrooms · 6 beds · 2 baths,Maxine,2015-08-24,-38.93434,175.38237,Entire home/apt,7,$150.00,150.0,2,51,2023-08-12,4.84,Taumarunui Ward,Ruapehu District
l15859625,Cabin in Auckland · ★4.89 · Studio · 1 bed · 1 bath,Cathrine,2016-09-03,-36.88482,174.74933000000001,Entire home/apt,2,$102.00,102.0,3,179,2023-08-20,4.89,Albert-Eden-Puketāpapa Ward,Auckland
l703197734068547815,Rental unit in Auckland · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,Kate,2016-06-10,-36.97815,174.79628,Private room,1,$72.00,72.0,1,144,2023-08-29,4.88,Manukau Ward,Auckland
l901636147845581510,Guesthouse in Hamilton · ★4.74 · 1 bedroom · 1 bed · 1 bath,Dionne,2022-07-26,-37.814840000000004,175.28914,Entire home/apt,2,$93.00,93.0,1,27,2023-08-30,4.74,West Ward,Hamilton City
l15942969,Home in Whangarei · ★4.93 · 1 bedroom · 1 bed · 1 private bath,Andries And Dina.,2016-11-02,-35.72871,174.34233,Private room,2,$82.00,82.0,1,333,2023-06-03,4.93,Okara Ward,Whangarei District
l41299306,Villa in Auckland · 1 bedroom · 1 bed · 1 private bath,Vanessa,2019-01-16,-36.886309999999995,174.70122,Private room,2,$105.00,105.0,3,0,,,Whau Ward,Auckland
l23923075,Rental unit in Christchurch · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,Sheryl,2018-03-21,-43.53439,172.60103999999995,Private room,2,$70.00,70.0,1,348,2023-08-27,4.77,Riccarton Ward,Christchurch City
l19000594,Home in Greytown · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,Eli,2016-03-07,-41.07828,175.46483999999995,Private room,2,$69.00,69.0,1,135,2023-07-20,4.92,Greytown Ward,South Wairarapa District
l25387488,Home in Tauranga · ★4.83 · 3 bedrooms · 4 beds · 1.5 baths,Tom,2015-06-25,-37.73186,176.17885,Entire home/apt,6,$172.00,172.0,7,12,2023-01-30,4.83,Te Papa-Welcome Bay Ward,Tauranga City
l967807631383713905,Home in Te Awanga · ★New · 3 bedrooms · 3 beds · 2 baths,Harry,2023-08-28,-39.63264811829652,176.97163656555398,Entire home/apt,6,$518.00,518.0,2,0,,,Heretaunga Ward,Hastings District
l41081938,Home in Auckland · 1 bedroom · 1 bed · 1 shared bath,Oliver,2017-12-30,-36.78456,174.71627,Private room,2,$50.00,50.0,2,2,2022-11-19,5.0,North Shore Ward,Auckland
l10019025,Townhouse in Taupo · ★4.96 · 2 bedrooms · 3 beds · 1 bath,Megan,2015-12-15,-38.705709999999996,176.09978999999996,Entire home/apt,4,$220.00,220.0,2,198,2023-08-27,4.96,Taupō Ward,Taupo District
l745820172198588843,Home in Papamoa · ★4.75 · 3 bedrooms · 4 beds · 1 bath,Hannah,2012-08-27,-37.7066741,176.3085154,Entire home/apt,6,$214.00,214.0,4,4,2023-03-07,4.75,Mount Maunganui-Papamoa Ward,Tauranga City
l41981386,Bed and breakfast in Havelock North · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,Grahame & Jenni,2015-10-26,-39.67869,176.88041,Private room,3,$210.00,210.0,2,20,2023-01-29,5.0,Hastings-Havelock North Ward,Hastings District
l40160810,Home in Auckland · ★4.95 · 1 bedroom · 2 beds · 1 private bath,Leigh,2016-12-20,-36.94151,174.77215,Private room,2,$75.00,75.0,1,22,2023-08-26,4.95,Manukau Ward,Auckland
l52847651,Home in Christchurch · ★4.75 · 3 bedrooms · 1 bed · 2 baths,Michelle,2013-11-24,-43.563109999999995,172.73055,Entire home/apt,4,$285.00,285.0,3,4,2023-03-12,4.75,Heathcote Ward,Christchurch City
l29841566,Rental unit in Wellington · ★New · 1 bedroom · 1 bed · 1 bath,Madeleine,2012-10-14,-41.29371,174.78801,Entire home/apt,2,$200.00,200.0,3,0,,,Pukehīnau/Lambton Ward,Wellington City
